ID,Text,English Translations,Annotated Emotions,Source,Intensity
1,Die van de magistraet van den Briel zijn hier bij ons geweest ende hebben zeer geclaeght dat die van de dolerende gemeente aldaer eenighe hevige propoosten zouden hebben gehouden ende haer in de vroedtschapsvergaderinghe gedreyght datse een kercke zouden willen innemen,The magistrates of Den Briel came here and bitterly complained that those of the dissenting congregation there had made some violent proposals and threatened in the council meeting to seize a church.,Anger,Collectie Overijssel,High
2,"... welcker bloet wy versoeken willen ende wreken an de moerdadige stad Deventer, so lange alss adem in ons is",...whose blood we seek to avenge on the murderous city of Deventer for as long as we have breath in us.,Anger,Collectie Overijssel,High
3,Die schelmen pleegden de gruweldaden niet alleen uit rooflust maar ook uit boosaardigheid,Those scoundrels committed the atrocities not only out of greed but also out of malice.,Disgust,Collectie Overijssel,High
4,"…het anders te beduchten staet dat zij haer noch verder in de confirmatie van de resolutie van den 4en Augusty voors. zullen inlaten, tot merckelijcken nadeele van der landen dienst","…it is to be feared that they will further involve themselves in confirming the resolution of 4 August, which would be considerably detrimental to the country’s interests.",Fear,Collectie Overijssel,Medium
5,"wij beducht zijn dat men dezelve terstond zoude mogen schicken aen yemandt van de Gecommitteerde Raden alhier, hetwelcke dan zoude comen te strecken tot groot nadeel van de zaecken","we are apprehensive that it might immediately be sent to someone of the Council here, which would then result in great harm to affairs.",Fear,Collectie Overijssel,High
6,"…hunne blijdschap over dit voornemen te kennen, met belofte van het Landschap in alles te zullen bijstaan","…to make their joy about this plan known, with a promise to assist the province in every way.",Joy,Collectie Overijssel,Medium
7,"Het verwonderde de Generale Staten niet weinig, dat voor zoodanige stedekens, dorpen, kerspelen en huizen sauvegarde was verzocht","It surprised the States General greatly that safe-conduct had been requested for such small towns, villages, parishes, and houses.",Surprise,Collectie Overijssel,High
8,"**…**deel gestorven, geschoten en jammerlijk mishandeld, hunne diepe ellende te kennen, met verzoek van hulp, om tegen den kouden winter eenige kleine huisjes… te bouwen","…with part of them killed, shot, and horribly mistreated, they conveyed their deep misery, with a plea for help to build some small houses… to withstand the cold winter.",Sadness,Collectie Overijssel,High
9,hun leedwezen over dien toestand te kennen,to express their sorrow about that situation.,Sadness,Collectie Overijssel,Medium
10,"Het ordinair consent zoude, evenals het vorige jaar, ƒ4000 per maand blijven","The ordinary subsidy would remain 4,000 guilders per month, just like the previous year.",NULL,Collectie Overijssel,None
