ID,Text,English Translations,Annotated Emotions 1,Annotated Emotions 2,Annotated Emotions 3,Annotated Emotions 4,Annotated Emotions 5
1,am visat niste chestii ciudate pe care efectiv nu pot sa le descriu si care nu par deloc grave dar care ma inspaimanta si acum mi e frica sa ma culc la loc am dormit doar vreo 15 minute,"I had some strange dreams that I honestly can’t describe, they didn’t seem serious, but they terrified me, and now I’m too scared to go back to sleep I’ve only slept about 15 minutes",Fear,Surprise,,,
2,Ce surpriza Miai inseninat ziua Ce invitata minunata Ai inceput cu dreptul sa ai un an fabulos,What a lovely surprise! You brightened my whole day!What a wonderful guest You’ve started the year off perfectly,Joy,Surprise,,,
3,Parlamentarii vor închisoare pentru cine nu pare suficient de patriot,Lawmakers want prison time for anyone who doesn’t seem patriotic enough,NULL,,,,
4,O ador pe <|PERSON|> O urmaresc de multi ani pe youtube instagram fb Este un OM cu coloana vertebrala ♥♥♥,I adore <|PERSON|>! I’ve been following her for years on youtube instagram fb. She’s has a real backbone ♥♥♥,Joy,,,,
5,Pericolul nuclear ascuns in vazul tuturor International,The nuclear danger hidden in plain sight International news,Fear,,,,
6,Asa este Din pacate Nu se vad partile rele din Dubai Locuiesc aici de 8 ani si pot spune ca lumea vorbeste in special de opulenta locului,"That’s true, unfortunately. People don’t see the bad sides of Dubai.  I’ve lived here for eight years, and I can tell you most only talk about its luxury",Disgust,Sadness,,,
7,Efectele încălzirii globale în 2020 România cea mai mare secetă din ultimii 60 de ani <|URL|>…,The effects of global warming in 2020. Romania is facing the worst drought in the last 60 years. <|URL|>…,Fear,Sadness,,,
8,O plimbare prin unde imi recomandati sa ma duc,Where would you recommend that I go for a walk,NULL,,,,
9,Daca si totusi nu sunt de acordSuna ca o razbunare Nu am incredere in justitia independentachiar delocMa refer la cel de drept penal,"Even so, I still disagree. It feels like revenge.  I have no faith at all in the so-called independent justice system I mean criminal law",Anger,Disgust,,,
10,Îți mulțumesc că Ești si ca ești si Fain si Simplu 🙏💯👏,Thank You for existing and for being both kind and simple🙏💯👏,Joy,,,,
11,Măcar de la <|PERSON|>  scapi fără amendă,At least you can get away without a fine from <|PERSON|> ,Surprise,,,,
12,Franţa este ameninţată de secetă,France is now threatened by drought,Fear,,,,
13,O Doamna in adevaratul sens al cuvantuluiun model de conduita cum rar mai intalnesti in zilele noastreTot respectul pt ea ca ommamafemeie❤,"A true lady a role model, the kind you rarely see these days. All my respect for her as a person, mother, and woman ❤",Joy,Surprise,,,
14,Pentru a se victimiza iae <|PERSON|> da share acestui mesaj in care lumea rea din diaspora o ataca,<|PERSON|> shares this post claiming that people from the diaspora are attacking her to play the victim.,Anger,Disgust,,,
15,Emisiune la superlativ ca toate celelalte de altfel Un invitat de clasă elegant profesionist deadevăratelea un OM de milioane 👏👏,"A superb show, like all the others! An elegant, professional guest truly an outstanding person 👏👏",Joy,,,,
16,Mulțumesc mult pentru acest episod minunat Am multe de învățat și integrat din el Sunteți niște oameni cu adevărat deosebiți,Thank you so much for this wonderful episode. I have a lot to learn and integrate from it. You are truly special people.,Joy,Surprise,,,
17,Febra aurului Război între preoți și reprezentanți ai statului Comoara stârnește conflicte,Gold fever. War between priests and state representatives. The treasure stirs conflict.,Disgust,Surprise,,,
18,Felicitari Recorder Cei mai buni Jurnalisti,"Congratulations, Recorder. The best journalists.",Joy,,,,
